fecha,medio,seguidores,texto,URL
"May 20th 2020, 13:07:29.000",24HorasTVN,"3,671,538",#ENVIVO Chile registró nuevo peak de contagios y fallecidos por Covid-19 #24Tarde 📡 Sigue la señal en vivo… https://t.co/5W5m45Jrub,https://twitter.com/i/web/status/1263154388161515520
"May 20th 2020, 13:05:52.000",Cooperativa,"2,917,585","Balance de contagios por Covid-19 incorporará nueva categoría de ""caso probable"" #CooperativaEnCasa… https://t.co/06LpBsRB3J",https://twitter.com/i/web/status/1263153983822184450
"May 20th 2020, 13:04:59.000",Tele13_Radio,"135,605",📡#Protagonistas | Chile superó los 50 mil contagios de coronavirus: en las últimas 24 horas se registraron 4.038 nu… https://t.co/mHTFQ0kXiR,https://twitter.com/i/web/status/1263153762119692293
"May 20th 2020, 13:01:22.000",biobio,"3,179,991","🔶EN DESARROLLO | Con los 52 nuevos casos, el total en la región llega a 1.224 contagios. https://t.co/nUbjFc0hkC",https://www.biobiochile.cl/noticias/nacional/region-del-bio-bio/2020/05/20/region-del-bio-bio-registra-mayor-alza-diaria-coronavirus-52-casos-positivos-ultimas-24-horas.shtml
"May 20th 2020, 12:56:46.000",elmostrador,"1,747,892","Compleja jornada: aumentan fallecidos, nuevos contagiados superan los 4 mil y Minsal incorpora categoría de caso pr… https://t.co/TVcGTtoZAs",https://twitter.com/i/web/status/1263151692423413760
"May 20th 2020, 12:35:24.000",Cooperativa,"2,917,576","[Actualización 🔴] Por segunda jornada consecutiva, Chile registró cifras récord de nuevos contagios y fallecidos… https://t.co/JEQZ73YpoO",https://twitter.com/i/web/status/1263146316181446657
"May 20th 2020, 12:35:00.000",latercera,"1,937,098",“Casos probables”: Minsal agrega nueva categoría a informe de nuevos contagios por Covid-19 https://t.co/zaBiMCYnu0 https://t.co/3Fhc23fIoh,https://bit.ly/3e1e9r6
"May 20th 2020, 12:34:48.000",24HorasTVN,"3,671,516",🔍 #24Data | El Ministerio de Salud informó de la cifra más alta de contagios registrados en un día: 4.038 nuevos af… https://t.co/fOTSYghgex,https://twitter.com/i/web/status/1263146163970158592
"May 20th 2020, 12:34:15.000",T13,"3,207,771","📈 [INTERACTIVO] Coronavirus en Chile: Curva de contagiados, recuperados y muertos día por día https://t.co/Vw2YLcdu1E",https://www.t13.cl/noticia/nacional/20-de-mayo-curva-contagios-actualizada-coronavirus
"May 20th 2020, 12:29:43.000",DigitalFmChile,"9,451","Gobierno crea categoría de ""casos probables"" de Covid-19 y los sumará a total de contagiados »… https://t.co/NIxCng4yWm",https://twitter.com/i/web/status/1263144883923161089
